"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Stip1",3.28298493667761e-08,-0.361481416043852,0.06,0.08,0.000408370496273328
"CG32444",3.28306000320718e-08,0.694889098810257,0.021,0.011,0.000408379833798941
"CG3534",3.29843931581765e-08,-0.357184062011114,0.013,0.023,0.000410292866494557
"CG11241",3.37779030697664e-08,0.729677415528152,0.039,0.025,0.000420163336284824
"slgA",3.42468811371836e-08,-0.101759662022538,0.239,0.275,0.000425996954465426
"D2hgdh",3.43965022088691e-08,0.831817594028899,0.048,0.032,0.000427858090976122
"Src42A",3.47142541457168e-08,0.311451287673788,0.246,0.217,0.000431810607318571
"His3.3B",3.56721918107344e-08,-0.17740596668922,0.253,0.287,0.000443726393933726
"Rchy1",3.57115762705261e-08,0.738157934497647,0.017,0.008,0.000444216297229075
"CG17239",3.60190294783867e-08,-1.23598649072211,0.006,0.013,0.000448040707681652
"fbl",3.60998600627693e-08,-0.518185454239407,0.107,0.13,0.000449046159320788
"Tps1",3.61851661898823e-08,-0.246071909095904,0.162,0.191,0.000450107282235946
"shakB",3.63786432911882e-08,-0.145330179365535,0.245,0.283,0.00045251394389909
"CG15571",3.65077905187243e-08,-1.12845138867406,0.004,0.011,0.000454120406262411
"TpnC41C",3.72368749043962e-08,-0.281197884987657,0.074,0.096,0.000463189486935784
"Tm2",3.73832406983609e-08,-0.343768043315036,0.169,0.196,0.000465010131046911
"Nopp140",3.767444464987e-08,-0.522281567664525,0.045,0.062,0.000468632416999733
"Ttc30",3.81885784542803e-08,-0.27732505915533,0.049,0.067,0.000475027727392793
"Dph5",3.82406751194772e-08,-0.531198703328875,0.035,0.05,0.000475675757811177
"Tat",3.8403195503875e-08,-0.231627858138511,0.048,0.065,0.000477697348872701
"Nna1",3.88208528420482e-08,0.266681559619662,0.22,0.191,0.000482892588502237
"CG13003",3.94321877894403e-08,1.56831707657483,0.013,0.005,0.000490496983912848
"CG1607",3.945047710035e-08,-0.339620401788394,0.045,0.062,0.000490724484651254
